,canonical_brand_url,instagram_id,fct_date,fct_followers_count,fct_following_count,est_following_count,est_posts_count,est_followers_count,fct_posts_count,comments,likes,likes_per_post_pax,comments_per_post_pax,comments_per_post,likes_per_post,name
120,thelongdrink.com,7521961287,2020-01-01,5400.0,871.0,812.6517,405.61447,5374.409,414.0,116.0,2410.0,0.0011055359586672427,5.3212519172365206e-05,0.28598585151425665,0.28598585151425665,The Long Drink
121,lossundays.com,2179286233,2020-01-01,14225.0,3738.0,3672.5928,369.0864,13701.288,379.0,321.0,9792.0,0.0019363415724155723,6.347688365455461e-05,0.8697150697485899,0.8697150697485899,Los Sundays
122,drinkonda.com,19344966306,2020-01-01,,,,,,,,,,,,,Onda
123,teremana.com,16168990751,2020-01-01,,,,,,,,,,,,,Teremana
124,madremezcal.com,2263717464,2020-01-01,18144.0,207.0,204.6,452.2,17793.6,453.0,46.0,4656.0,0.0005786535049696829,5.7169375490990995e-06,0.10172489774047101,0.10172489774047101,Madre Mezcal
125,mezcalrosaluna.com,7617656729,2020-01-01,,,,,,,,,,,,,Rosaluna Mezcal
126,properwhiskey.com,7740896584,2020-01-01,714203.0,2.0,1.9992673,223.89914,688576.1,243.0,11090.0,549869.0,0.003566603664835359,7.19328324437714e-05,49.53123102440639,49.53123102440639,Proper 12
127,ghosttequila.com,2694491630,2020-01-01,11744.0,2002.0,1906.1173,859.9306,11743.02,862.0,81.0,2126.0,0.00021053294821070931,8.021245910191652e-06,0.09419364738833977,0.09419364738833977,Ghost Tequila
128,mezcalrosaluna.com,7617656729,2020-02-01,,,,,,,,,,,,,Rosaluna Mezcal
129,madremezcal.com,2263717464,2020-02-01,18594.0,210.0,207.3871,454.1613,18206.709,456.0,54.0,4977.0,0.0006019024066871526,6.5305866909998474e-06,0.11890049138026672,0.11890049138026672,Madre Mezcal
130,lossundays.com,2179286233,2020-02-01,14574.0,3784.0,3728.297,378.54333,14137.65,388.0,234.0,7971.0,0.0014894295550587373,4.3724315127806354e-05,0.6181590808464421,0.6181590808464421,Los Sundays
131,thelongdrink.com,7521961287,2020-02-01,5585.0,948.0,880.39197,412.31378,5479.8076,419.0,231.0,5047.0,0.0022337786797965316,0.00010223952348583294,0.5602529195752877,0.5602529195752877,The Long Drink
132,properwhiskey.com,7740896584,2020-02-01,722574.0,2.0,1.9996338,238.95142,705577.1,254.0,1665.0,162781.0,0.0009654940711619923,9.875523731176963e-06,6.967943642113115,6.967943642113115,Proper 12
133,ghosttequila.com,2694491630,2020-02-01,11713.0,2010.0,1958.084,862.9668,11728.003,866.0,62.0,1911.0,0.00018881762686863405,6.125951264183836e-06,0.07184517437347088,0.07184517437347088,Ghost Tequila
134,teremana.com,16168990751,2020-02-01,,,,,,,,,,,,,Teremana
135,drinkonda.com,19344966306,2020-02-01,,,,,,,,,,,,,Onda
136,properwhiskey.com,7740896584,2020-03-01,733312.0,1.0,1.4997864,255.47672,719445.44,272.0,28638.0,163595.0,0.0008900631889034964,0.0001558093438296912,112.09632153814012,112.09632153814012,Proper 12
137,mezcalrosaluna.com,7617656729,2020-03-01,,,,,,,,,,,,,Rosaluna Mezcal
138,lossundays.com,2179286233,2020-03-01,14877.0,3856.0,3792.1492,389.77176,14507.328,401.0,721.0,13582.0,0.0024019608423487297,0.00012750800819713104,1.8498005134809699,1.8498005134809699,Los Sundays
139,thelongdrink.com,7521961287,2020-03-01,5794.0,1050.0,965.2374,420.16074,5636.9805,428.0,195.0,6406.0,0.002704736358071383,8.233274895783947e-05,0.464108097813838,0.464108097813838,The Long Drink
140,madremezcal.com,2263717464,2020-03-01,19014.0,214.0,210.74603,458.14285,18616.762,462.0,40.0,3386.0,0.0003969921304581711,4.689806620888023e-06,0.08730901236808844,0.08730901236808844,Madre Mezcal
141,ghosttequila.com,2694491630,2020-03-01,11671.0,2013.0,1985.5487,863.4835,11699.494,864.0,39.0,1281.0,0.00012680255136551902,3.860499221901047e-06,0.04516588802651867,0.04516588802651867,Ghost Tequila
142,drinkonda.com,19344966306,2020-03-01,,,,,,,,,,,,,Onda
143,teremana.com,16168990751,2020-03-01,,,,,,,,,,,,,Teremana
144,properwhiskey.com,7740896584,2020-04-01,731240.0,1.0,1.2498856,269.23877,725342.9,283.0,6878.0,106353.0,0.0005445889167669871,3.5219340963802964e-05,25.546098030290114,25.546098030290114,Proper 12
145,madremezcal.com,2263717464,2020-04-01,19660.0,218.0,214.40158,463.11023,19142.488,468.0,42.0,3019.0,0.00034054958002519464,4.737688758217348e-06,0.09069115153438545,0.09069115153438545,Madre Mezcal
146,lossundays.com,2179286233,2020-04-01,17115.0,3954.0,3873.075,407.38596,15811.169,425.0,958.0,11977.0,0.001859422223429577,0.00014872893796823367,2.3515783652726454,2.3515783652726454,Los Sundays
147,drinkonda.com,19344966306,2020-04-01,,,,,,,,,,,,,Onda
148,thelongdrink.com,7521961287,2020-04-01,6618.0,1294.0,1129.6588,440.08524,6127.61,460.0,308.0,7774.0,0.002882814056930464,0.0001142149124690742,0.6998644241793037,0.6998644241793037,The Long Drink
149,mezcalrosaluna.com,7617656729,2020-04-01,,,,,,,,,,,,,Rosaluna Mezcal
150,teremana.com,16168990751,2020-04-01,303957.0,3.0,3.0,28.0,303957.0,28.0,6676.0,206689.0,0.024285507489546217,0.0007844154647814375,238.42857142857142,238.42857142857142,Teremana
151,ghosttequila.com,2694491630,2020-04-01,11833.0,2015.0,2000.2761,871.2427,11766.255,879.0,22.0,1170.0,0.00011413227381969788,2.146076943618251e-06,0.025251288316739572,0.025251288316739572,Ghost Tequila
152,mezcalrosaluna.com,7617656729,2020-05-01,,,,,,,,,,,,,Rosaluna Mezcal
153,drinkonda.com,19344966306,2020-05-01,,,,,,,,,,,,,Onda
154,lossundays.com,2179286233,2020-05-01,18977.0,4017.0,3945.0376,421.693,17394.088,436.0,424.0,10062.0,0.001371785689402031,5.780532024512633e-05,1.005470820889452,1.005470820889452,Los Sundays
155,teremana.com,16168990751,2020-05-01,391923.0,3.0,3.0,35.333332,362601.0,39.0,3896.0,126892.0,0.009904228471818833,0.00030409225267318804,110.26415491155066,110.26415491155066,Teremana
156,madremezcal.com,2263717464,2020-05-01,20352.0,232.0,223.23529,467.0706,19749.615,471.0,65.0,5721.0,0.0006201986112200732,7.046479589111127e-06,0.1391652606418216,0.1391652606418216,Madre Mezcal
157,thelongdrink.com,7521961287,2020-05-01,6687.0,1296.0,1212.8396,451.04395,6407.3394,462.0,1214.0,5526.0,0.0019121162698973297,0.0004200704219426997,2.691533746581823,2.691533746581823,The Long Drink
158,properwhiskey.com,7740896584,2020-05-01,724773.0,1.0,1.1249409,281.61957,725057.94,294.0,1078.0,89480.0,0.0004382182259591126,5.2793836341520275e-06,3.8278590090495235,3.8278590090495235,Proper 12
159,ghosttequila.com,2694491630,2020-05-01,,,2007.6385,875.1216,11799.63,,,,,,,,Ghost Tequila
160,lossundays.com,2179286233,2020-06-01,19945.0,4060.0,4002.5188,432.8465,18669.545,444.0,365.0,12574.0,0.001555986473707657,4.5167413941728554e-05,0.8432550635900243,0.8432550635900243,Los Sundays
161,madremezcal.com,2263717464,2020-06-01,21495.0,254.0,238.64775,473.54794,20624.016,480.0,46.0,4582.0,0.0004691566766763352,4.7099971905524704e-06,0.09713905565166026,0.09713905565166026,Madre Mezcal
162,properwhiskey.com,7740896584,2020-06-01,,,1.06247,292.05988,723524.7,,,,,,,,Proper 12
163,thelongdrink.com,7521961287,2020-06-01,8861.0,1327.0,1269.9232,466.0229,7634.2446,481.0,1347.0,9824.0,0.002761309165870025,0.0003786119143349882,2.890415973451797,2.890415973451797,The Long Drink
164,drinkonda.com,19344966306,2020-06-01,,,,,,,,,,,,,Onda
165,teremana.com,16168990751,2020-06-01,416306.0,3.0,3.0,39.714287,393289.56,43.0,3671.0,147466.0,0.009441319867131476,0.00023503102567533972,92.43524926178063,92.43524926178063,Teremana
166,mezcalrosaluna.com,7617656729,2020-06-01,,,,,,,,,,,,,Rosaluna Mezcal
167,ghosttequila.com,2694491630,2020-06-01,,,2011.3193,877.06085,11816.315,,,,,,,,Ghost Tequila
168,mezcalrosaluna.com,7617656729,2020-07-01,,,,,,,,,,,,,Rosaluna Mezcal
169,ghosttequila.com,2694491630,2020-07-01,,,2013.1597,878.03046,11824.658,,,,,,,,Ghost Tequila
