,instagram_id,fct_date,canonical_brand_url,fct_followers_count,est_followers_count,fct_following_count,est_following_count,fct_posts_count,est_posts_count,execution_period,comments,likes
98,2263717464,2021-04-01,madremezcal.com,,27627.97,,344.8796,,426.2718,2021-12,,
42,7740896584,2021-04-01,properwhiskey.com,775113.0,775055.3,1.0,1.1055298,422.0,409.87018,2021-12,485.0,44963.0
101,2694491630,2021-04-01,ghosttequila.com,,11832.983,,2014.9965,,878.9981,2021-12,,
203,16168990751,2021-05-01,teremana.com,,697549.94,,3.0,,137.1772,2021-12,,
25,2179286233,2021-05-01,lossundays.com,,30333.994,,4512.0786,,551.2846,2021-12,,
133,211618639,2021-05-01,dulcevidaspirits.com,,21784.215,,4378.866,,1538.8981,2021-12,,
165,2263717464,2021-05-01,madremezcal.com,,28521.629,,399.797,,423.99304,2021-12,,
199,7740896584,2021-05-01,properwhiskey.com,,775045.25,,1.0527649,,421.3101,2021-12,,
46,7617656729,2021-05-01,mezcalrosaluna.com,,12414.792,,317.11633,,246.82353,2021-12,,
83,2694491630,2021-05-01,ghosttequila.com,,11832.992,,2014.9982,,878.999,2021-12,,
192,2179286233,2021-06-01,lossundays.com,,31336.248,,4557.539,,561.1423,2021-12,,
181,16168990751,2021-06-01,teremana.com,,708200.8,,3.0,,147.83893,2021-12,,
58,211618639,2021-06-01,dulcevidaspirits.com,,22062.607,,4433.933,,1544.4491,2021-12,,
230,7740896584,2021-06-01,properwhiskey.com,,775001.25,,1.0263824,,432.40503,2021-12,,
256,2263717464,2021-06-01,madremezcal.com,,29459.53,,463.18423,,426.28223,2021-12,,
253,2694491630,2021-06-01,ghosttequila.com,,11832.996,,2014.9991,,878.9995,2021-12,,
41,7617656729,2021-06-01,mezcalrosaluna.com,,12615.413,,327.07764,,269.08023,2021-12,,
183,2694491630,2021-07-01,ghosttequila.com,,11832.998,,2014.9995,,878.99976,2021-12,,
152,2263717464,2021-07-01,madremezcal.com,,30419.55,,530.8064,,430.8554,2021-12,,
27,16168990751,2021-07-01,teremana.com,,717693.3,,3.0,,158.29462,2021-12,,
77,2179286233,2021-07-01,lossundays.com,,32322.957,,4603.2695,,571.07117,2021-12,,
123,7740896584,2021-07-01,properwhiskey.com,,774940.3,,1.0131912,,443.3275,2021-12,,
127,211618639,2021-07-01,dulcevidaspirits.com,,22358.137,,4497.6333,,1550.0579,2021-12,,
56,7617656729,2021-07-01,mezcalrosaluna.com,,12809.834,,335.79733,,290.74878,2021-12,,
66,211618639,2021-08-01,dulcevidaspirits.com,,22662.234,,4565.65,,1555.6956,2021-12,,
240,7740896584,2021-08-01,properwhiskey.com,,774870.9,,1.0065956,,454.16376,2021-12,,
14,2694491630,2021-08-01,ghosttequila.com,,11832.999,,2014.9998,,878.9999,2021-12,,
174,2263717464,2021-08-01,madremezcal.com,,31390.633,,600.5461,,436.57056,2021-12,,
193,7617656729,2021-08-01,mezcalrosaluna.com,,13001.261,,343.90262,,312.13483,2021-12,,
112,2179286233,2021-08-01,lossundays.com,,33301.895,,4649.135,,581.0356,2021-12,,
186,16168990751,2021-08-01,teremana.com,,726606.7,,3.0,,168.64738,2021-12,,
34,2694491630,2021-09-01,ghosttequila.com,,11832.999,,2014.9999,,878.99994,2021-12,,
238,2263717464,2021-09-01,madremezcal.com,,32367.244,,671.3445,,442.85672,2021-12,,
87,2179286233,2021-09-01,lossundays.com,35252.0,34276.95,4741.0,4695.0674,601.0,591.01776,2021-12,614.0,11907.0
