source_name,tokenized_review,tokenized_review
credo,clutch,1
credo,cold,1
credo,coldest,1
credo,collection,1
credo,colorado,1
credo,colorless,1
credo,combat,1
credo,combo-ish,1
credo,comedogenic,1
credo,comfort,1
credo,comforting/way,1
credo,comparable,1
credo,complained,1
credo,completion,1
credo,complex,1
credo,composition,1
credo,conceal,1
credo,concealer/makeup,1
credo,concentrated,1
credo,concern,1
credo,conducting,1
credo,confident,1
credo,congestion,1
credo,conscious,1
credo,considerable,1
credo,contacted,1
credo,contains,1
credo,contend,1
credo,contender,1
credo,continues,1
credo,controlling,1
credo,conventional,1
credo,cooky,1
credo,coola,1
credo,corner,1
credo,correct,1
credo,correction,1
credo,cosmetically,1
credo,cotton,1
credo,count,1
credo,courier,1
credo,covered,1
credo,covering,1
credo,craven,1
credo,crease,1
credo,creeping,1
credo,creme,1
credo,crinkle,1
credo,cropping,1
credo,cross,1
credo,crossed,1
credo,cruelty,1
credo,cruelty-free,1
credo,culkin,1
credo,culprit,1
credo,currently,1
credo,cutting,1
credo,d-bronzi,1
credo,dairy,1
credo,darken,1
credo,daughter,1
credo,day-to-day,1
credo,deal-breaker,1
credo,debatable,1
credo,decade,1
