,brand_name,unibi_word,counts
415,Athletic Greens,aftertaste,3
416,Athletic Greens,although,3
417,Athletic Greens,amazing,3
418,Athletic Greens,annoying,3
419,Athletic Greens,anyone,3
420,Athletic Greens,apparently,3
421,Athletic Greens,arrived,3
422,Athletic Greens,away,3
423,Athletic Greens,barely,3
424,Athletic Greens,beneficial,3
425,Athletic Greens,better_way,3
426,Athletic Greens,better_’,3
427,Athletic Greens,bit,3
428,Athletic Greens,blend,3
429,Athletic Greens,body_’,3
430,Athletic Greens,boost,3
431,Athletic Greens,bought,3
432,Athletic Greens,brand,3
433,Athletic Greens,budget,3
434,Athletic Greens,call,3
435,Athletic Greens,came,3
436,Athletic Greens,canceled,3
437,Athletic Greens,canceling_subscription,3
438,Athletic Greens,care,3
439,Athletic Greens,caused,3
440,Athletic Greens,chalky_taste,3
441,Athletic Greens,change_energy,3
442,Athletic Greens,charge,3
443,Athletic Greens,charged,3
444,Athletic Greens,chug,3
445,Athletic Greens,coming,3
446,Athletic Greens,comparable,3
447,Athletic Greens,compared,3
448,Athletic Greens,complete,3
449,Athletic Greens,considering,3
450,Athletic Greens,consistency,3
451,Athletic Greens,consistent,3
452,Athletic Greens,constantly,3
453,Athletic Greens,continue_use,3
454,Athletic Greens,convenient,3
455,Athletic Greens,cost_high,3
456,Athletic Greens,could_stand,3
457,Athletic Greens,cup,3
458,Athletic Greens,daily_vitamin,3
459,Athletic Greens,day_’,3
460,Athletic Greens,deal,3
461,Athletic Greens,decent,3
462,Athletic Greens,despite,3
463,Athletic Greens,difference_feel,3
464,Athletic Greens,difference_way,3
465,Athletic Greens,differently,3
466,Athletic Greens,directed,3
467,Athletic Greens,disappointing,3
468,Athletic Greens,dissolve_well,3
469,Athletic Greens,dollar,3
470,Athletic Greens,easy,3
471,Athletic Greens,either,3
472,Athletic Greens,ever,3
473,Athletic Greens,everything,3
474,Athletic Greens,expensive_taste,3
475,Athletic Greens,extremely,3
476,Athletic Greens,felt_better,3
477,Athletic Greens,finally,3
478,Athletic Greens,first_thing,3
479,Athletic Greens,form,3
480,Athletic Greens,forward,3
481,Athletic Greens,found_taste,3
482,Athletic Greens,gag,3
483,Athletic Greens,gagged,3
484,Athletic Greens,go,3
485,Athletic Greens,green_every,3
486,Athletic Greens,green_’,3
487,Athletic Greens,grit,3
488,Athletic Greens,gritty_taste,3
489,Athletic Greens,gritty_texture,3
490,Athletic Greens,gritty_’,3
491,Athletic Greens,gut,3
492,Athletic Greens,happy,3
493,Athletic Greens,high_hope,3
494,Athletic Greens,home,3
495,Athletic Greens,honestly_felt,3
496,Athletic Greens,hopefully,3
497,Athletic Greens,hoping_would,3
498,Athletic Greens,horrible_taste,3
499,Athletic Greens,huge_difference,3
