Owner Role,Opportunity Owner,Account Name (DBA),Opportunity Name,Stage,Fiscal Period,Amount,Probability (%),Age,Fund/Close Date,Created Date,Next Step,Lead Source,Type,Website
Equity Fund,Aditi Dash,Willie's Superbrew,Willie's Superbrew - May 2020,Closed Passed,Q4-2020,,1/0/00,234,44196,43962,,Helio,,superbrew.com
Equity Fund,Aditi Dash,Pacha Soap,Pacha Soap - May 2020,Closed Lost,Q4-2020,,1/0/00,237,44196,43959,,Helio,,pachasoap.com
Equity Fund,Aditi Dash,Eat Me Guilt Free,Eat Me Guilt Free - May 2020,Closed Passed,Q4-2020,,1/0/00,237,44196,43959,,Helio,,eatmeguiltfree.com
Equity Fund,Aditi Dash,Mikey's,Mikey's - May 2020,Closed Passed,Q4-2020,,1/0/00,232,44196,43964,,Inbound,,eatmikeys.com
Equity Fund,Aditi Dash,Feals,Feals - May 2020,Closed Passed,Q4-2020,,1/0/00,239,44196,43957,,Inbound,,feals.com
Equity Fund,Aditi Dash,SkinTe,SkinTe - May 2020,Closed Passed,Q4-2020,,1/0/00,240,44196,43956,,Helio,,skinte.com
Equity Fund,Aditi Dash,Square Baby Food,Square Baby Food - May 2020,Closed Passed,Q4-2020,,1/0/00,239,44196,43957,,Helio,,squarebaby.com
Equity Fund,Aditi Dash,Brainiac,Brainiac - Feb 2020,Closed Lost,Q4-2020,,1/0/00,238,44196,43958,,Trade Show,,brainiackids.com
Equity Fund,Aditi Dash,noyah,noyah - May 2020,Closed Passed,Q4-2020,,1/0/00,237,44196,43959,,Helio,,noyah.com
Equity Fund,Aditi Dash,Pupums,Pupums - May 2020,Closed Passed,Q4-2020,,1/0/00,237,44196,43959,,Helio,,pupums.com
Equity Fund,Aditi Dash,Keto Bars,Keto Bars - May 2020,Closed Lost,Q4-2020,,1/0/00,239,44196,43957,,Helio,,ketobars.com
Equity Fund,Aditi Dash,Sunwarrior,Sunwarrior - May 2020,Closed Passed,Q4-2020,,1/0/00,237,44196,43959,,Helio,,sunwarrior.com
Equity Fund,Aditi Dash,Tailored Pet,Tailored Pet - September 2020,Closed Passed,Q4-2020,,1/0/00,111,44196,44085,,Inbound,,tailoredpet.com
